expiry,window_size,normalize,freq_input,mape,mae,rmse,mse,mase
252,128,1,0,31.07523723382502,0.06671161824433332,0.07772417374049406,0.006041047183642507,110.32718466734931
252,128,1,1,93.33104817556097,0.17813964686910108,0.36465484839592616,0.13297315845865587,294.60604065579156
252,128,1,2,36.76328904958383,0.07680107310565693,0.1033686103495406,0.010685069605595154,127.01305107222682
252,128,0,0,31.145383361201713,0.06685231339857836,0.07815746617590079,0.006108589519037076,110.55986528090214
252,128,0,1,93.36345418916748,0.17817372432867556,0.3649127716159857,0.13316133088846052,294.6623977083472
252,128,0,2,36.75450867522109,0.07678299722282712,0.10334262694760915,0.010679698544432714,126.9831573098587
252,256,1,0,29.887505752856626,0.06272497501617437,0.07232779742450512,0.005231310280280251,100.44745144808768
252,256,1,1,71.10255063534696,0.14499274881550187,0.2444704808928323,0.059765816027972686,232.19064006345732
252,256,1,2,30.621604396296775,0.06422624134447533,0.0798755245128292,0.0063800994161995785,102.85157160252017
252,256,0,0,29.883494867988915,0.0627178349029273,0.07232185200876587,0.005230450277977832,100.43601730756338
252,256,0,1,71.07446912494459,0.14493598566902552,0.2443311538065677,0.05969771272044864,232.0997398534811
252,256,0,2,30.62317888409644,0.06422818229490519,0.07987333300833309,0.006379749325860071,102.8546798305269
252,512,1,0,30.002262883415494,0.06410723394106035,0.07512255461869279,0.00564339821243848,103.27323409273512
252,512,1,1,45.583091942894185,0.09587333263853144,0.13229295798709959,0.017501426732976496,154.44667498729945
252,512,1,2,31.323600798408645,0.06784699658209495,0.0764651399751992,0.005846917631426808,109.29778637702049
252,512,0,0,30.00287250606951,0.06410980314665783,0.07512603903559843,0.00564392174117826,103.27737294189129
252,512,0,1,45.58248147806481,0.09587185804549678,0.13229401594414764,0.01750170665463039,154.44429949888263
252,512,0,2,31.32342616560412,0.06784594223539168,0.07646496742686122,0.005846891243590947,109.29608788237007
252,1024,1,0,26.305475371796806,0.06830439703471912,0.0860624674096272,0.007406748296633144,99.08283521278696
252,1024,1,1,32.78474552157773,0.08438528509121772,0.11244459621785581,0.012643787218596634,122.40988369792959
252,1024,1,2,28.676628931534925,0.07291051411903958,0.08486131048290735,0.0072014420168764,105.76450081338578
252,1024,0,0,26.30625801298435,0.06830603132207526,0.08606188366751609,0.007406647820401073,99.08520592143573
252,1024,0,1,32.78553866424209,0.08438781072329865,0.11244182487492874,0.012643163981204143,122.41354739745914
252,1024,0,2,28.678144765839132,0.07291482082193108,0.08486318708827215,0.007201760522779081,105.77074814666788
