expiry,window_size,freq,positional_embedding,mape,mae,rmse,mse,mase
22,32,0,1,35.17730675365859,0.06829115526684387,0.08315761295089291,0.006915188591690512,9.885003937349785
22,32,1,1,41.17330721138404,0.08013873859744895,0.10347155599296082,0.010706362899604424,11.599917199740744
22,32,2,1,32.579541328877596,0.060568117090197035,0.07417255693911548,0.0055015682028863285,8.767110082923782
22,64,0,1,35.50705769886696,0.07050481164230574,0.08614371662152136,0.007420739913368975,10.205426134073171
22,64,1,1,35.39618650767767,0.06860430560949843,0.0921651529690071,0.008494415421800478,9.930331803865254
22,64,2,1,38.89688804564885,0.07369797517676335,0.10084213797253164,0.010169136790871107,10.667629972731032
22,128,0,1,43.02981392560687,0.08673870856247767,0.10703095609869966,0.011455625563401774,12.555249245827456
22,128,1,1,49.63693117449638,0.09954141719055758,0.1467908503040351,0.02154755373298164,14.408414925962841
22,128,2,1,44.08794214303924,0.08377153216324401,0.10075189450843654,0.010150944247039124,12.125756579103212
22,256,0,1,29.87978258920096,0.0606485275195791,0.07067880035786679,0.00499549282002719,8.778749326804483
22,256,1,1,34.48331083833411,0.07216983231347479,0.10448227266727224,0.010916545301718223,10.446434443655331
22,256,2,1,33.72857557602899,0.06826253089188988,0.07950520340917949,0.006321077369135006,9.880860618086569
22,512,0,1,34.24427917055135,0.07305079878281301,0.08615260214508062,0.0074222708563685515,10.57395252391117
22,512,1,1,30.100395143077364,0.06196895834186664,0.07322199483830422,0.0053614605281006485,8.969878966159808
22,512,2,1,32.018427358122295,0.06341179434874465,0.07287141381387346,0.005310242951232788,9.178726503636799
22,1024,0,1,37.31940040974731,0.07466317511078821,0.08559807594092132,0.007327030604787733,10.807340673346427
22,1024,1,1,32.34020254009,0.06468364115489214,0.0762402450997378,0.005812574972868093,9.362823706815577
22,1024,2,1,26.73110646318059,0.051816297731726434,0.06072400072234335,0.0036874042637271556,7.500302273341179
22,32,0,0,28.971106180175788,0.05220049680163456,0.06724565309058594,0.004521977859579431,7.5559142966541275
22,32,1,0,30.685464202966955,0.05537036974448655,0.07044142348433106,0.0049619941424988686,8.01474687019244
22,32,2,0,39.26082455790614,0.0737145563892592,0.08998323178177776,0.00809698200189314,10.670030069056347
22,64,0,0,29.94008382685068,0.055225878295130267,0.06625180137380476,0.004389301185274078,7.993832030778474
22,64,1,0,34.44168948519577,0.06400883972059936,0.0829177773400783,0.006875357799018802,9.265147590357317
22,64,2,0,28.491534380731153,0.052862531935389326,0.07045020189103139,0.004963230946487082,7.651742517428231
22,128,0,0,29.32324502402731,0.0564126426860318,0.070867055366137,0.0050221395362671254,8.165613729754414
22,128,1,0,33.69594827666673,0.06102906967081937,0.08301070635768742,0.006890777370002207,8.833832018679283
22,128,2,0,30.186141934857236,0.055894671638397245,0.07600381629371246,0.0057765800912083914,8.090638488446897
22,256,0,0,27.64556084041591,0.05379713618239041,0.06797895916174947,0.004621138888714802,7.787024555422323
22,256,1,0,30.47894745111156,0.05590609584008577,0.0716919363015019,0.005139733730658607,8.09229211808943
22,256,2,0,27.066870831362426,0.05012027874260536,0.06261838151255186,0.003921061703251497,7.254807021140906
22,512,0,0,26.311809410107983,0.04791438235616735,0.05946314571095305,0.003535865697842034,6.935508066830901
22,512,1,0,28.38358249241717,0.05144895460912379,0.06569986568707588,0.0043164723512998104,7.447130113650852
22,512,2,0,26.00396332720825,0.04849499511188562,0.05846196770118011,0.003417801667493826,7.019550566242785
22,1024,0,0,30.014355587766122,0.05368615331766529,0.06725513448043458,0.004523253113981339,7.770960014553165
22,1024,1,0,25.363440607988853,0.04587700428219305,0.057800949587799334,0.0033409497732513204,6.640601790836417
22,1024,2,0,24.72820934192035,0.044720848861003686,0.05665111453462154,0.0032093487780148074,6.473250677123542
