iteration,train_start,train_end,test_start,test_end,train_samples,test_samples,MAPE,MAE,RMSE,MSE,MASE
1,0,1000,1000,1200,1000,200,40.26046389889335,0.04077259233563758,0.0494669645791495,0.002446980584674831,1.7857287551716432
2,100,1100,1100,1300,1000,200,54.99653560644238,0.0459406857149828,0.05623540217472223,0.0031624204577527537,2.001787674188939
3,200,1200,1200,1400,1000,200,50.925070448433374,0.04195613058198247,0.05348423744899589,0.002860563655500575,1.6156394557780012
4,300,1300,1300,1500,1000,200,40.22470466654279,0.046600299487209645,0.05762650510605225,0.0033208140907378665,1.6332866416938963
5,400,1400,1400,1600,1000,200,43.45658869957839,0.06880178019116504,0.09311986400454983,0.008671309072225854,2.112298765121819
6,500,1500,1500,1700,1000,200,38.9570656130756,0.06946247020377702,0.09590257364514816,0.009197303631763066,1.916775003186007
7,600,1600,1600,1800,1000,200,35.702962606982815,0.09131382285430384,0.13040266081715207,0.01700485394819321,2.0723735109749444
8,700,1700,1700,1900,1000,200,36.53328401104629,0.10207099534578717,0.13537445301231607,0.01832624252838377,2.0853348087015156
9,800,1800,1800,2000,1000,200,49.399104408451095,0.10619964993613575,0.1351164112674368,0.01825644459379112,2.1266825545115933
10,900,1900,1900,2100,1000,200,44.519379423701174,0.0960924231989685,0.1239156550578982,0.01535508956842801,1.978043042582622
11,1000,2000,2000,2200,1000,200,38.957545572881465,0.06927045143033932,0.08673589357292225,0.007523115233893294,1.6936308871345092
12,1100,2100,2100,2300,1000,200,78.62854424024648,0.09420070909116897,0.1100284839384797,0.012106267277800285,2.780031202419065
13,1200,2200,2200,2400,1000,200,64.77512559239717,0.08017432557928654,0.09237800971163093,0.008533696678282179,2.550058161215901
