Feature_Selection,Expiry,Total_Iterations,Train_Window_Size,Test_Window_Size,Step_Size,Avg_MAPE,Std_MAPE,Avg_MAE,Std_MAE,Avg_RMSE,Std_RMSE,Avg_MSE,Std_MSE,Avg_MASE,Std_MASE
LSTM_wf_vol_only_1w_exp,1w,13,1000,200,100,45.39823002886304,10.091096220711208,0.07332641674147927,0.02366240998714929,0.09358651968533654,0.03359639142011578,0.009887154183267514,0.007221827082551642,2.0320796602513043,0.3183851817279526
LSTM_wf_best_metric_1w_exp,1w,13,1000,200,100,45.51363601726083,9.27380600993128,0.07480818495107003,0.026149637220185356,0.09493204917083645,0.036319952375717814,0.010331232900348517,0.008042711826138678,2.0615694988139217,0.3503862745176878
LSTM_wf_best_5_1w_exp,1w,13,1000,200,100,48.85337354381519,11.874021132929244,0.07755953741024466,0.020311158640825337,0.09834937768305221,0.028666267489884715,0.010494354982445268,0.0059836443583297415,2.177659904682501,0.32750841209991993
LSTM_wf_best_10_1w_exp,1w,13,1000,200,100,50.2932738861651,14.738781930717783,0.07736158382991104,0.02445977299143013,0.09761233586984745,0.031827921965269054,0.010541184730595165,0.006060875816758254,2.1389284543894553,0.3804780792588359
LSTM_wf_best_20_1w_exp,1w,13,1000,200,100,47.4874134452825,12.009349588574683,0.07329664122698035,0.022856272859525267,0.09382977802588108,0.030775548666492392,0.009751161640109755,0.005744227649004381,2.0270515740523427,0.3248758903243536
LSTM_wf_vol_only_1m_exp,1m,12,1000,200,100,24.02882772567577,6.167215087556625,0.05284083409167357,0.025873727242508755,0.06701029944813823,0.03404605179315768,0.0056495138748315285,0.005967447035682418,7.163253198417891,1.5730658607444068
LSTM_wf_best_metric_1m_exp,1m,12,1000,200,100,27.556978910667667,12.567057871852318,0.056889608452864504,0.02651432457892996,0.07015473591997594,0.03314751306049069,0.006020444594096965,0.005275746291711616,8.042424451818485,2.9738783511850113
LSTM_wf_best_5_1m_exp,1m,12,1000,200,100,37.07765169842751,13.001866936735485,0.08028565981370869,0.040126666325832304,0.09489011834399917,0.04479612140623151,0.011010827052379997,0.00974812404607534,11.084020489398627,3.4476384409213914
LSTM_wf_best_10_1m_exp,1m,12,1000,200,100,24.88464493628969,6.916423079115585,0.05584462270605272,0.029270395870996443,0.06887675241268808,0.036715187501784825,0.006092012016209948,0.005772851111495164,7.475217798759186,1.9740409764965305
LSTM_wf_best_20_1m_exp,1m,12,1000,200,100,26.994631476906793,9.00262590115633,0.05816034214088383,0.027257531127392255,0.07179076693720719,0.03390343262950842,0.00630335696149602,0.006066340669539441,8.11209473602517,2.096262680103706
LSTM_wf_vol_only_3m_exp,3m,10,1000,200,100,21.694069041557345,12.308986464903144,0.05189710516303901,0.031092296093420336,0.06065868641220438,0.03254612030273645,0.004738726184014342,0.004562032202419252,20.488421372000225,11.8788659142055
LSTM_wf_best_metric_3m_exp,3m,11,1000,200,100,22.416093955780262,15.119984595750074,0.051401603027343985,0.03273719972389875,0.057713940173823815,0.03435913900922692,0.0045114493238430945,0.004207130231277436,20.572502699022753,12.44654110638954
LSTM_wf_best_5_3m_exp,3m,11,1000,200,100,23.65988169250227,13.440393586703415,0.05397655324366695,0.02912422686908507,0.06103326883769113,0.031115308840916935,0.004693222349279522,0.004015353349348795,21.887612251605994,11.086407617610602
LSTM_wf_best_10_3m_exp,3m,11,1000,200,100,21.58458369591459,7.2637128949441765,0.04970921679414304,0.023218005687331084,0.055966962370051214,0.02616001287848005,0.00381664715073297,0.0034524657787085816,19.94952439639333,5.912185072921489
LSTM_wf_best_20_3m_exp,3m,11,1000,200,100,22.888380114076217,8.905705072115628,0.05433292819954349,0.02939986996046522,0.06272653789878783,0.03292928700439057,0.005018956499385593,0.004775981938446107,21.618583867023414,8.79006459978806
LSTM_wf_vol_only_1y_exp,1y,3,1000,200,100,29.30713037786299,5.9951070993213955,0.06794629825252681,0.005007747232601115,0.07235526073989709,0.0049478754150086126,0.005259765227860941,0.0007121293864893654,93.97004907924395,9.73012276056643
LSTM_wf_best_metric_1y_exp,1y,5,1000,200,100,28.709507869812796,8.901482916680646,0.08070782729617526,0.033046707555032875,0.08663433347936413,0.032290153363251424,0.00854816174163597,0.005744458768335931,107.79287491502767,41.45278087691814
LSTM_wf_best_5_1y_exp,1y,5,1000,200,100,26.234523031221055,8.844779233419745,0.07405051969201332,0.031239821053307904,0.08195988647157179,0.03287236368082979,0.007798015284397673,0.005349388906601087,99.23295278678958,40.82713523790131
LSTM_wf_best_10_1y_exp,1y,5,1000,200,100,20.04128147032177,7.13459015688148,0.05411607246664725,0.017441759273514098,0.06347129941794327,0.020504372935600992,0.0044490351592844125,0.0021258684981151584,73.5527500160492,25.66475369724791
LSTM_wf_best_20_1y_exp,1y,5,1000,200,100,17.763977023784484,6.735357775650589,0.046873174881307,0.012026155947861345,0.05458363665164111,0.01226846424481159,0.0031298886050446,0.001274201908970226,63.80387374047416,19.11043804395253
